BldgID,BuildingSF,StarRating,BuildingClass,SalePrice,PricePerSF,SaleStatus,SecondaryType,LandAreaAC,NumberOfFloors,CeilingHeightDecimals,LocationType,PropertyZipCode,MSA,NearestMajorHighwayInterchange,DistancetoNearestInterchange,GeographicMedicalCostIndexbyZipCode,quarter,year
412,469600,5,A,65739900,139.99,Sold,Distribution,10.76,1,36,Suburban,8854,37980,7114,18.15,1.206,2019Q3,2019
413,396750,5,A,59512500,150,Sold,Distribution,23.93,1,36,Suburban,8854,37980,7114,18.15,1.206,2019Q2,2019
414,128748,3,B,10500000,81.55,Sold,Warehouse,19.6,1,18.33,Suburban,8857,37980,7114,22.84,1.206,2019Q1,2019
415,60000,3,B,5950000,99.17,Sold,Warehouse,3,2,18.5,Suburban,8861,37980,7114,13.94,1.206,2019Q4,2019
416,75000,3,B,3600000,48,Sold,Warehouse,0.71,3,13,Suburban,8861,37980,7114,13.94,1.206,2019Q3,2019
417,511200,4,A,3055000,5.98,Sold,Distribution,57.08,1,36,Suburban,8865,37980,19007,40.1,1.206,2020Q3,2020
418,87000,2,C,1475000,16.95,Sold,Warehouse,5.5,1,12,Suburban,8865,37980,19007,40.1,1.206,2020Q2,2020
419,926392,4,A,164000000,177.03,Sold,Distribution,99.79,1,40,Suburban,8873,37980,7114,22.18,1.206,2020Q2,2020
420,120000,4,A,15600000,130,Sold,Warehouse,8.84,1,27,Suburban,8873,37980,7114,22.18,1.206,2019Q4,2019
421,85371,1,C,11196657,131.15,Sold,Warehouse,9.63,2,26,Suburban,8873,37980,7114,22.18,1.206,2019Q1,2019
422,223658,3,C,21400000,95.68,Sold,Manufacturing,23.64,1,22,Suburban,8876,37980,7114,26.45,1.206,2021Q1,2021
423,266068,3,B,15500000,58.26,Sold,Manufacturing,38.99,2,21.5,Suburban,8876,37980,7114,26.45,1.206,2020Q4,2020
424,187500,4,A,25786479,137.53,Sold,Distribution,18.46,1,36,Suburban,8876,37980,7114,26.45,1.206,2020Q2,2020
